"";"Isolate";"Geographic.Origin";"TOB_c";"Colony.size.1_4";"Margin.0_1_2";"Survival.24";"Background";"Swimming";"IL.6";"IL.10"
"MHH16563";"MHH16563";"Hanover";"S";1;1;95;"PA14-like";0,283910141;4895,041082;477,3258978
"MHH16610";"MHH16610";"Hanover";"S";3;1;30;"PAO1-like";0,709667146;4687,702546;358,4368506
"MHH16727";"MHH16727";"Hanover";"S";3;1;0;"PA14-like";0,5905837;2164,742372;169,1400666
"MHH16798";"MHH16798";"Hanover";"S";2;1;30;"PAO1-like";0,719016047;5006,184359;473,4502352
"MHH16951";"MHH16951";"Hanover";"I";0;0;100;"PA14-like";0;4447,723911;701,8665693
"MHH17233";"MHH17233";"Hanover";"R";1;1;5;"PA14-like";0,319978632;1178,163252;248,6618045
"MHH17247";"MHH17247";"Hanover";"S";2;1;25;"PAO1-like";0,338273531;4641,199534;467,3093451
"MHH17441";"MHH17441";"Hanover";"R";1;0;100;"PA14-like";0,435229927;3016,710313;635,5555749
"MHH17501";"MHH17501";"Hanover";"S";0;0;95;"PAO1-like";0,8794926;4294,72062;404,3784949
"MHH17546";"MHH17546";"Hanover";"R";0;0;100;"PAO1-like";0;5039,867828;1147,089947
"MHH17767";"MHH17767";"Hanover";"R";0;0;NA;"PAO1-like";0,100861816;5041,481574;825,5338306
"MHH17783";"MHH17783";"Hanover";"S";0;0;NA;"PAO1-like";0,969387755;5048,757343;980,5957288
"MHH1883";"MHH1883";"Hanover";"S";0;0;NA;"PA14-like";0;4935,614273;803,0054357
"MHH2419";"MHH2419";"Hanover";"S";0;1;NA;"PAO1-like";0,292307692;5002,463005;917,3463309
"MS1";"MS1";"Münster";"S";2;1;10;"PAO1-like";0;4294,237397;415,3874255
"MS2";"MS2";"Münster";"S";0;1;NA;"PAO1-like";0;4346,379443;889,8892904
"MS5";"MS5";"Münster";"S";0;0;100;"PAO1-like";0;4399,611758;743,9016981
"PA14";"PA14";NA;NA;NA;NA;NA;"PA14-like";NA;4527,5;308,885
"PAO1";"PAO1";NA;NA;NA;NA;NA;"PAO1-like";NA;5550,809291;319,1011898
"PSAE1401";"PSAE1401";"Stuttgart";"S";2;1;10;"PAO1-like";1,209969008;4389,149576;415,0691912
"PSAE1438";"PSAE1438";"Stuttgart";"S";3;1;30;"PAO1-like";1,24795082;4311,281576;532,1215672
"PSAE1439";"PSAE1439";"Stuttgart";"S";3;1;10;"PAO1-like";1,184570833;4322,951497;429,6790404
"PSAE1630";"PSAE1630";"Gera";"S";2;1;70;"PAO1-like";0,4;4424,489725;723,5395222
"PSAE1635";"PSAE1635";"Munich";"S";2;1;100;"PA14-like";0,22;4299,453804;305,5049656
"PSAE1641";"PSAE1641";"Munich";"S";2;1;75;"PA14-like";0,639325843;2419,301431;249,591536
"PSAE1642";"PSAE1642";"Munich";"S";2;1;95;"PA14-like";0,2330765;1627,948528;160,1441986
"PSAE1645";"PSAE1645";"Munich";"S";2;1;25;"PA14-like";0,906476829;4457,366672;417,4077314
"PSAE1647";"PSAE1647";"Munich";"S";1;1;95;"PA14-like";0,25;3936,724454;279,1397328
"PSAE1649";"PSAE1649";"Munich";"S";2;1;35;"PA14-like";0;1489,432912;139,7048749
"PSAE1651";"PSAE1651";"Munich";"S";1;1;100;"PA14-like";0,21;3057,438644;147,5016162
"PSAE1654";"PSAE1654";"Munich";"S";2;1;90;"PA14-like";0,259067358;3198,913039;150,028204
"PSAE1656";"PSAE1656";"Munich";"S";2;1;55;"PA14-like";0;1498,922294;134,7625992
"PSAE1742";"PSAE1742";"Freiburg";"S";2;0;75;"PAO1-like";0;4232,965721;353,0617124
"PSAE1745";"PSAE1745";"Munich";"R";1;1;90;"PAO1-like";0,384676357;873,2826491;82,55633084
"PSAE1837";"PSAE1837";"Gera";"S";2;1;90;"PA14-like";1,576540384;3486,47253;304,3284629
"PSAE1872";"PSAE1872";"Berlin";"S";2;1;20;"PAO1-like";1,28631139;2876,068463;201,7364624
"PSAE1903";"PSAE1903";"Gera";"S";2;1;95;"PAO1-like";0,6425;4204,152505;280,4608874
"PSAE1912";"PSAE1912";"Regensburg";"S";2;1;70;"PAO1-like";0,951186624;4044,92544;336,9812348
"PSAE1934";"PSAE1934";"Bremen";"S";1;1;100;"PAO1-like";0,206113899;4315,635312;212,0212176
"PSAE1970";"PSAE1970";"Regensburg";"S";3;2;85;"PAO1-like";1,04173863;4393,808;357,7918318
"PSAE1975";"PSAE1975";"Regensburg";"S";0;0;100;"PAO1-like";0,615173172;4219,882487;341,4075851
"PSAE1984";"PSAE1984";"Bremen";"S";0;0;65;"PAO1-like";0;4218,865637;159,7150644
"PSAE2125";"PSAE2125";"Neubrandenburg";"S";2;1;95;"PAO1-like";0,465372508;3979,238778;560,8974944
"PSAE2126";"PSAE2126";"Neubrandenburg";"S";2;0;45;"PAO1-like";2,227137407;3051,775882;375,4312879
"PSAE2127";"PSAE2127";"Hungary";"R";0;2;95;"PA14-like";0,632841328;4641,260908;466,8843909
"PSAE2139";"PSAE2139";"Romania";"R";2;1;10;"PA14-like";1,039181287;959,2452151;240,9832158
"PSAE2325";"PSAE2325";"Neubrandenburg";"S";2;1;0;"PAO1-like";1,726347305;2147,581894;474,1388696
"SH102";"SH102";NA;NA;NA;NA;NA;NA;NA;3814,613388;219,7896782
"SH702";"SH702";NA;NA;NA;NA;NA;NA;NA;4522,76502;338,8112181
"SH707";"SH707";NA;NA;NA;NA;NA;NA;NA;4479,252187;264,3092569
"Vb20477";"Vb20477";"Essen";"R";2;0;75;"PA14-like";0,234954179;1915,010437;195,4591309
"Vb3320";"Vb3320";"Essen";"S";1;0;75;"PA14-like";1,274056164;3331,156903;457,3924853
"ZG02420619";"ZG02420619";"Riesa";"S";3;1;85;"PAO1-like";0,797935904;4457,7095;625,3848006
"ZG02488718";"ZG02488718";"Radebeul";"S";3;1;5;"PA14-like";NA;4550,395762;309,4752414
"ZG02512057";"ZG02512057";"Radebeul";"S";1;0;85;"PA14-like";0,853373232;4626,095761;503,5857393
"ZG205565";"ZG205565";"Görlitz";"S";2;1;0;"PAO1-like";0,718916622;2794,041395;472,079888
"ZG205694";"ZG205694";"Görlitz";"S";2;1;5;"PAO1-like";0,586499123;2528,117972;158,8298468
"ZG205710";"ZG205710";"Görlitz";"S";1;1;95;"PAO1-like";1,000821468;4553,271421;582,4893489
"ZG205864";"ZG205864";"Görlitz";"R";2;0;NA;"PAO1-like";0,95513165;4276,157669;472,3406923
"ZG301975";"ZG301975";"Görlitz";"S";2;1;0;"PA14-like";0,598383455;3285,896707;508,7812364
"ZG302359";"ZG302359";"Görlitz";"S";1;1;0;"PAO1-like";0,755764075;3512,599224;372,9296252
"ZG302367";"ZG302367";"Görlitz";"S";2;1;15;"PAO1-like";1,473088531;3648,031001;399,092419
"ZG302368";"ZG302368";"Görlitz";"S";2;2;47,5;"PAO1-like";1,073596358;3789,92794;345,9192172
"ZG302370";"ZG302370";"Görlitz";"S";2;1;100;"PAO1-like";0,524800853;4526,627974;437,8012746
"ZG302383";"ZG302383";"Görlitz";"S";2;1;0;"PA14-like";1,051491676;4431,938079;412,0674353
"ZG302431";"ZG302431";"Görlitz";"S";2;2;0;"PAO1-like";1,15584779;2958,846264;357,1749837
"ZG302432";"ZG302432";"Görlitz";"S";2;1;0;"PAO1-like";0;3395,536783;393,2071631
"ZG302442";"ZG302442";"Görlitz";"S";2;1;5;"PA14-like";1,2668678;3382,139644;266,6200383
"ZG302451";"ZG302451";"Görlitz";"S";2;2;0;"PAO1-like";1,826677316;3035,211437;399,3154754
"ZG314696";"ZG314696";"Görlitz";"S";2;1;0;"PAO1-like";1,050993377;3004,23625;472,4539363
"ZG314738";"ZG314738";"Görlitz";"S";2;0;65;"PA14-like";1,115385292;3386,540875;198,5923304
"ZG314777";"ZG314777";"Görlitz";"S";2;2;55;"PAO1-like";0,774834437;8956,380886;299,2786639
"ZG316694";"ZG316694";"Görlitz";"S";2;1;0;"PAO1-like";1,862880886;3865,804041;241,5486691
"ZG316704";"ZG316704";"Görlitz";"S";2;1;60;"PA14-like";2,02688172;4212,301168;206,8859273
"ZG316716";"ZG316716";"Görlitz";"S";2;2;5;"PAO1-like";1,35543842;3098,072521;259,830153
"ZG316722";"ZG316722";"Görlitz";"S";2;1;0;"PA14-like";1,074355972;4252,039235;207,8547617
"ZG322541";"ZG322541";"Zwickau";"R";1;1;0;"PAO1-like";0,965863454;4008,97693;202,8233753
"ZG5003493";"ZG5003493";"Leipzig";"S";2;2;80;"PAO1-like";0,339937107;4623,268663;502,3242547
"ZG5021922";"ZG5021922";"Leipzig";"R";2;1;0;"PA14-like";0,985774818;18,2557192;28,42382273
"ZG5048010";"ZG5048010";"nd";"R";1;1;NA;"PA14-like";0,655498282;9,683772686;22,29723226
"ZG5051896";"ZG5051896";"nd";"R";2;1;NA;"PAO1-like";1,341150719;927,1852753;163,2743382
"ZG5089456";"ZG5089456";"nd";"R";2;1;NA;"PAO1-like";0;3184,515062;372,1026146
"ZG8006959";"ZG8006959";"Leipzig";"R";2;1;NA;"PA14-like";0,428571429;1603,051186;144,8992472
"ZG8038581181";"ZG8038581181";"Chemnitz";"R";2;1;NA;"PAO1-like";0,906495568;3341,352527;222,4528027
"ZG8510487";"ZG8510487";"Leipzig";"R";1;1;NA;"PAO1-like";0;1359,837268;274,8213442
"ZG8525123";"ZG8525123";"nd";"R";1;0;NA;"PAO1-like";0;2801,432634;294,769036
